company_id,category,year_month,monthly_total,n_transactions,lag_1,lag_2,lag_3,roll_mean_3,roll_std_3,yoy_same_month,yoy_pct_change,pct_change_prev,is_sparse_category,fallback_used,seasonal_peak_flag,external_signal_index,confidence_flag,generated_at,snapshot_version,change_log
1,Travel,2022-11-01,285619.08,32,0.0,0.0,0.0,0.0,0.0,0.0,,,TRUE,TRUE,TRUE,1.0156,1,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,pct_prev_null_lag1_zero,yoy_pct_null_yoy_same_zero,confidence_recomputed"
1,Travel,2022-12-01,130361.86,29,285619.08,0.0,0.0,285619.08,0.0,0.0,,-0.5436,TRUE,TRUE,FALSE,1.0383,1,2025-09-01T02:12:00Z,v2025-09-agg-12,"yoy_pct_null_yoy_same_zero,confidence_recomputed"
1,Travel,2023-01-01,147503.41,27,130361.86,285619.08,0.0,207990.47,109783.43,0.0,,0.1315,TRUE,TRUE,FALSE,1.0283,1,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,confidence_recomputed"
1,Travel,2023-02-01,158220.35,28,147503.41,130361.86,285619.08,187828.12,85122.05,0.0,,0.0727,FALSE,TRUE,FALSE,1.0071,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,is_sparse_recomputed,confidence_recomputed"
1,Travel,2023-03-01,348627.28,27,158220.35,147503.41,130361.86,145361.87,14052.17,0.0,,1.2034,FALSE,TRUE,TRUE,1.0009,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,is_sparse_recomputed,confidence_recomputed"
1,Travel,2023-06-01,101283.55,27,111254.12,348627.28,158220.35,206033.92,125702.45,0.0,,-0.0896,FALSE,TRUE,FALSE,1.0474,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,is_sparse_recomputed,confidence_recomputed"
1,Travel,2023-09-01,384428.13,28,270764.47,204178.6,101283.55,192075.54,85386.23,0.0,,0.4198,FALSE,TRUE,FALSE,1.0348,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,is_sparse_recomputed,confidence_recomputed"
1,Travel,2023-11-01,372911.18,21,178865.46,384428.13,270764.47,278019.35,102973.19,0.0,,1.0849,FALSE,TRUE,TRUE,1.0335,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero,is_sparse_recomputed,confidence_recomputed"
1,Travel,2024-03-01,325464.74,25,71825.31,355706.77,372911.18,266814.42,169084.48,348627.28,-0.0664,3.5313,FALSE,FALSE,TRUE,1.0462,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-04-01,118119.36,22,325464.74,71825.31,355706.77,250998.94,155903.94,0.0,,-0.6371,FALSE,FALSE,TRUE,1.0803,2,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,yoy_pct_null_yoy_same_zero"
1,Travel,2024-05-01,167001.9,40,118119.36,325464.74,71825.31,171803.14,135072.95,111254.12,0.5011,0.4138,FALSE,FALSE,FALSE,1.0189,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-06-01,249145.08,28,167001.9,118119.36,325464.74,203528.67,108391.33,101283.55,1.4599,0.4919,FALSE,FALSE,FALSE,1.0428,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-07-01,98028.51,31,249145.08,167001.9,118119.36,178088.78,66212.72,204178.6,-0.5199,-0.6065,FALSE,FALSE,FALSE,1.0634,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-08-01,147721.35,22,98028.51,249145.08,167001.9,171391.83,75653.87,270764.47,-0.4544,0.5069,FALSE,FALSE,FALSE,1.0233,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-10-01,187375.42,31,374327.48,147721.35,98028.51,206692.45,147287.04,178865.46,0.0476,-0.4994,FALSE,FALSE,TRUE,1.0398,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-11-01,338286.33,21,187375.42,374327.48,147721.35,236474.75,121019.18,372911.18,-0.0929,0.8054,FALSE,FALSE,TRUE,1.0564,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Travel,2024-12-01,315161.21,29,338286.33,187375.42,374327.48,299996.41,99183.45,355706.77,-0.114,-0.0684,FALSE,FALSE,FALSE,1.0333,2,2025-09-01T02:12:00Z,v2025-09-agg-12,recomputed_roll_mean_std
1,Hotel,2022-06-01,125046.6,29,0.0,0.0,0.0,0.0,0.0,0.0,,,TRUE,TRUE,FALSE,1.06,1,2025-09-01T02:12:00Z,v2025-09-agg-12,"recomputed_roll_mean_std,pct_prev_null_lag1_zero,yoy_pct_null_yoy_same_zero,confidence_recomputed"
